Name,Source,Max Bounty($),Total Paid Amount($),Response Time(Mins),Languages,Product Types,Project Types,Ecosystems,Program Types,Last Updated,Hash
SpookySwap,Immunefi,200000,0,0,"Solidity","DEX,Staking,Crosschain Liquidity,AMM","Defi,NFT","Fantom","Smart Contract",2022-10-24,1b59549a440bf383c50f7cfddac3f1de18340abf0ab994ec86dcef54b51e9561
Gains Network,Immunefi,400000,118000,0,"Solidity","DEX,Perpetuals,Staking,L2,Options","Defi,NFT","Polygon","Smart Contract,Websites and Applications",2023-08-10,8638b396efe47d393109b1290a1c2b3efa377889b46d138c17185368c13878fb
Enzyme Finance,Immunefi,400000,536000,114,"Solidity","Asset Management","Defi","ETH","Smart Contract",2023-07-28,61d36ae07b23a5fc6b6e25165dc6dd30c75ae6c9ff484057975db29b28b1e254
SushiSwap,Immunefi,200000,469101,9577,"Solidity","DEX,AMM","Defi","ETH,Fantom,Polygon,BSC,xDAI","Smart Contract,Websites and Applications",2023-05-10,93c983dc3604142f5b941c271a4b90c24e0caaf76c9655277a3991489fd0f9f8
Popcorn,Immunefi,150000,26000,4397,"Solidity","Yield Aggregator","Defi","ETH","Smart Contract",2023-06-28,94c3d113f6ca6988b1c78dba9d01cbd990fa821133c8919680a3496a2545c068
88mphV3,Immunefi,100420,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2022-10-13,d9ace973c6b8736bbdc0e4793e9b5811e99d1035fd0087fd91a1a4d2467bea13
Bonfida,Immunefi,100000,0,0,"Rust","","Defi","Solana","Smart Contract,Websites and Applications",2023-08-05,ba274415dbf68cc5513c13ce70472c0759fbd4a5eb56cebb301322a9e2f5d3bd
Utix,Immunefi,100000,0,0,"Solidity","","","ETH","Smart Contract",2023-07-27,3d07ce9b1879c7b9c2a41b4e1126c6b614d03f709f06e464a1e45bf15b429fae
Linea,Immunefi,100000,0,0,"Solidity","L2","Blockchain","","Smart Contract",2023-07-11,0a0957a4776a053d2d52c9bf998ee07e1dbfb9c5379c207147bb61760b71ae5a
Velodrome Finance,Immunefi,100000,0,0,"Solidity","DEX,Staking,AMM","Defi","ETH","Smart Contract",2023-07-19,a42e4ddc1275e6b85c333068644608b5cbf110d58054a5fdaf260ac0bb6cdd11
Push Protocol,Immunefi,100000,0,0,"Solidity","Staking","Infrastructure","ETH,BSC","Smart Contract",2023-06-21,70267788a064f6426b9556f158fbb576c792600eec5ad5591b04f35fc0b28e98
Lybra Finance,Immunefi,100000,0,0,"Solidity","Lending","Defi","ETH","Smart Contract",2023-05-30,60d504516811738b60c81da7bfed8ec986b748899a5d38bba8b8a0c6265f5f96
Trader Joe,Immunefi,100000,0,0,"Solidity","DEX,Staking,Lending,AMM","Defi","Avalanche,Fuse,Arbitrum","Smart Contract",2023-06-19,74fe7d9afeaed5c2961d066edb946d5297f4f28169a520d8025283e40b18a3fe
Chronos,Immunefi,100000,0,0,"Solidity","DEX","Defi,NFT","Arbitrum","Smart Contract",2023-05-03,6a45762c19ee5e1fc93c4af076bc85c0f3a0fda6f6df582418d4eb8c976050f4
